Animal_Name,Sex
WT209G3N2F20417,1
WT209G3N2F20418,1
WT209G3N2F20419,0
WT209G3N2F20420,0
WT209G3N2F20421,0
WT209G3N2F20422,0
WT209G3N2F20423,0
WT209G3N2F20424,0
WT209G3N2F20425,1
WT209G3N2F20426,1
WT209G3N2F20427,1
WT209G3N2F20428,1
WT209G3N2F20429,1
WT209G3N2F20430,1
WT209G3N2F20431,1
WT209G3N2F20432,1
WT209G3N2F20433,1
WT209G3N2F20434,1
WT209G3N2F20435,0
WT209G3N2F20436,0
WT209G3N2F20437,0
WT209G3N2F20438,0
WT209G3N2F20439,1
WT209G3N2F20440,1
WT209G3N2F20441,1
WT209G3N2F20442,1
WT209G3N2F20443,0
WT209G3N2F20444,0
WT209G3N2F20445,0
WT209G3N2F20446,0
WT209G3N2F20447,0
WT209G3N2F20448,0
WT209G3N2F20449,0
WT209G3N2F20450,1
WT209G3N2F20451,1
WT209G3N2F20452,1
WT209G3N2F20453,1
WT209G3N2F20454,1
WT209G3N2F20455,1
WT209G3N2F20456,1
WT209G3N2F20457,1
WT209G3N2F20458,0
WT209G3N2F20459,0
WT209G3N2F20460,0
WT209G3N2F20461,1
WT209G3N2F20462,1
WT209G3N2F20463,1
WT209G3N2F20464,1
WT209G3N2F20465,0
WT209G3N2F20466,0
WT209G3N2F20467,0
WT209G3N2F20468,0
WT209G3N2F20469,0
WT209G3N2F20470,1
WT209G3N2F20471,1
WT209G3N2F20472,0
WT209G3N2F20473,0
WT209G3N2F20474,0
WT209G3N2F20475,1
WT209G3N2F20476,1
WT209G3N2F20477,1
WT209G3N2F20478,1
WT209G3N2F20479,1
WT209G3N2F20480,0
WT209G3N2F20481,0
WT209G3N2F20482,0
WT209G3N2F20483,0
WT209G3N2F20484,0
WT209G3N2F20485,0
WT209G3N2F20486,0
WT209G3N2F20487,0
WT209G3N2F20488,0
WT209G3N2F20489,1
WT209G3N2F20490,1
WT209G3N2F20491,1
WT209G3N2F20492,1
WT209G3N2F20493,1
WT209G3N2F20494,0
WT209G3N2F20495,0
WT209G3N2F20496,1
WT209G3N2F20497,1
WT209G3N2F20498,1
WT209G3N2F20499,1
WT209G3N2F20501,0
WT209G3N2F20502,0
WT209G3N2F20503,0
WT209G3N2F20504,0
WT209G3N2F20505,0
WT209G3N2F20506,0
WT209G3N2F20507,0
WT209G3N2F20508,0
WT209G3N2F20509,0
WT209G3N2F20510,0
WT209G3N2F20511,1
WT209G3N2F20512,1
WT209G3N2F20513,1
WT209G3N2F20514,1
WT209G3N2F20515,1
WT209G3N2F20516,0
WT209G3N2F20517,0
WT209G3N2F20518,0
WT209G3N2F20519,0
WT209G3N2F20520,0
WT209G3N2F20521,1
WT209G3N2F20522,1
WT209G3N2F20523,1
WT209G3N2F20524,0
WT209G3N2F20525,0
WT209G3N2F20526,0
WT209G3N2F20527,1
WT209G3N2F20528,1
WT209G3N2F20529,1
WT209G3N2F20530,1
WT209G3N2F20531,1
WT209G3N2F20532,1
WT209G3N2F20533,1
WT209G3N2F20534,0
WT209G3N2F20535,0
WT209G3N2F20536,0
WT209G3N2F20537,1
WT209G3N2F20538,1
WT209G3N2F20539,0
WT209G3N2F20540,0
WT209G3N2F20541,0
WT209G3N2F20542,0
WT209G3N2F20543,0
WT209G3N2F20544,0
WT209G3N2F20546,0
WT209G3N2F20547,0
WT209G3N2F20548,1
WT209G3N2F20549,1
WT209G3N2F20550,1
WT209G3N2F20551,1
WT209G3N2F20552,1
WT209G3N2F20553,1
WT209G3N2F20554,1
WT209G3N2F20555,1
WT209G3N2F20556,1
WT209G3N2F20557,1
WT209G3N2F20558,0
WT209G3N2F20559,0
WT209G3N2F20560,0
WT209G3N2F20561,0
WT209G3N2F20562,1
WT209G3N2F20563,1
WT209G3N2F20564,1
WT209G3N2F20565,1
WT209G3N2F20566,0
WT209G3N2F20567,0
WT209G3N2F20568,0
WT209G3N2F20569,0
WT209G3N2F20570,1
WT209G3N2F20571,1
WT209G3N2F20572,1
WT209G3N2F20573,1
WT209G3N2F20574,1
WT209G3N2F20575,1
WT209G3N2F20576,0
WT209G3N2F20577,0
WT209G3N2F20578,0
WT209G3N2F20579,0
WT209G3N2F20580,0
WT209G3N2F20581,1
WT209G3N2F20582,1
WT209G3N2F20583,1
WT209G3N2F20584,0
WT209G3N2F20585,0
WT209G3N2F20586,0
WT209G3N2F20587,0
WT209G3N2F20588,1
WT209G3N2F20589,1
WT209G3N2F20590,1
WT209G3N2F20591,1
WT209G3N2F20592,1
WT209G3N2F20593,0
WT209G3N2F20594,0
WT209G3N2F20595,0
WT209G3N2F20596,0
WT209G3N2F20597,0
WT209G3N2F20598,1
WT209G3N2F20599,1
WT209G3N2F20601,0
WT209G3N2F20602,0
WT209G3N2F20603,1
WT209G3N2F20604,1
WT209G3N2F20605,1
WT209G3N2F20606,1
WT209G3N2F20607,1
WT209G3N2F20608,0
WT209G3N2F20609,0
WT209G3N2F20610,0
WT209G3N2F20611,0
WT209G3N2F20612,0
WT209G3N2F20613,1
WT209G3N2F20614,1
WT209G3N2F20615,1
WT209G3N2F20616,0
WT209G3N2F20617,0
WT209G3N2F20618,0
WT209G3N2F20619,0
WT209G3N2F20620,0
WT209G3N2F20621,0
WT209G3N2F20622,1
WT209G3N2F20623,1
WT209G3N2F20624,1
WT209G3N2F20625,0
WT209G3N2F20626,0
WT209G3N2F20627,0
WT209G3N2F20628,0
WT209G3N2F20629,0
WT209G3N2F20630,0
WT209G3N2F20631,0
WT209G3N2F20632,0
WT209G3N2F20633,0
WT209G3N2F20634,0
WT209G3N2F20635,1
WT209G3N2F20636,1
WT209G3N2F20637,1
WT209G3N2F20638,1
WT209G3N2F20639,1
WT209G3N2F20640,1
WT209G3N2F20641,1
WT209G3N2F20642,1
WT209G3N2F20643,0
WT209G3N2F20644,0
WT209G3N2F20645,0
WT209G3N2F20646,1
WT209G3N2F20647,1
WT209G3N2F20648,1
WT209G3N2F20649,1
WT209G3N2F20650,0
WT209G3N2F20651,0
WT209G3N2F20652,0
WT209G3N2F20653,0
WT209G3N2F20654,0
WT209G3N2F20655,0
WT209G3N2F20656,0
WT209G3N2F20657,0
WT209G3N2F20658,0
WT209G3N2F20659,1
WT209G3N2F20660,1
WT209G3N2F20661,1
WT209G3N2F20662,1
WT209G3N2F20663,1
WT209G3N2F20664,1
WT209G3N2F20665,1
WT209G3N2F20666,1
WT209G3N2F20667,1
WT209G3N2F20669,1
WT209G3N2F20670,0
WT209G3N2F20671,0
WT209G3N2F20672,0
WT209G3N2F20673,0
WT209G3N2F20674,0
WT209G3N2F20675,0
WT209G3N2F20676,0
WT209G3N2F20677,0
WT209G3N2F20678,1
WT209G3N2F20679,1
WT209G3N2F20680,1
WT209G3N2F20681,1
WT209G3N2F20682,1
WT209G3N2F20683,1
WT209G3N2F20684,0
WT209G3N2F20685,0
WT209G3N2F20686,0
WT209G3N2F20687,0
WT209G3N2F20688,0
WT209G3N2F20689,1
WT209G3N2F20690,1
WT209G3N2F20691,1
WT209G3N2F20692,1
WT209G3N2F20693,1
WT209G3N2F20694,0
WT209G3N2F20695,0
WT209G3N30111,1
WT209G3N30112,1
WT209G3N30115,0
WT209G3N30116,0
WT209G3N30117,0
WT209G3N30118,0
WT209G3N30119,0
WT209G3N30120,1
WT209G3N30121,1
WT209G3N30122,0
WT209G3N30123,0
WT209G3N30124,0
WT209G3N30125,0
WT209G3N30126,1
WT209G3N30127,1
WT209G3N30128,0
WT209G3N30129,0
WT209G3N30130,0
WT209G3N30131,1
WT209G3N30132,1
WT209G3N30133,1
WT209G3N30134,0
WT209G3N30135,0
WT209G3N30136,0
WT209G3N30137,0
WT209G3N30138,0
WT209G3N30139,1
WT209G3N30140,1
WT209G3N30141,0
WT209G3N30142,0
WT209G3N30143,0
WT209G3N30144,1
WT209G3N30145,0
WT209G3N30146,1
WT209G3N30147,0
WT209G3N30148,0
WT209G3N30149,0
WT209G3N30150,0
WT209G3N30151,1
WT209G3N30152,1
WT209G3N30153,1
WT209G3N30154,0
WT209G3N30155,0
WT209G3N30156,0
WT209G3N30157,1
WT209G3N30158,1
WT209G3N30159,1
WT209G3N30160,1
WT209G3N30161,1
WT209G3N30162,0
WT209G3N30163,0
WT209G3N30164,0
WT209G3N30165,1
WT209G3N30166,0
WT209G3N30167,0
WT209G3N30168,1
WT209G3N30169,1
WT209G3N30170,1
WT209G3N30171,1
WT209G3N30172,1
WT209G3N30216,1
WT209G3N30217,1
WT209G3N30218,0
WT209G3N30219,0
WT209G3N30220,0
WT209G3N30221,0
WT209G3N30222,0
WT209G3N30223,1
WT209G3N30224,1
WT209G3N30225,1
WT209G3N30226,1
WT209G3N30227,0
WT209G3N30228,0
WT209G3N30229,0
WT209G3N30230,1
WT209G3N30231,0
WT209G3N30232,0
WT209G3N30233,1
WT209G3N30234,0
WT209G3N30235,0
WT209G3N30236,1
WT209G3N30237,1
WT209G3N30238,1
WT209G3N30239,0
WT209G3N30240,0
WT209G3N30241,0
WT209G3N30242,0
WT209G3N30243,0
WT209G3N30244,0
WT209G3N30245,0
WT209G3N30246,1
WT209G3N30247,1
WT209G3N30248,1
WT209G3N30249,1
WT209G3N30250,0
WT209G3N30251,0
WT209G3N30252,0
WT209G3N30253,0
WT209G3N30254,0
WT209G3N30255,1
WT209G3N30256,1
WT209G3N30257,1
WT209G3N30258,0
WT209G3N30259,0
WT209G3N30260,0
WT209G3N30261,0
WT209G3N30262,1
WT209G3N30263,1
WT209G3N30264,1
WT209G3N30265,1
WT209G3N30266,0
WT209G3N30267,0
WT209G3N30268,0
WT209G3N30269,0
WT209G3N30270,1
WT209G3N30271,1
WT209G3N30272,1
WT209G3N30273,1
WT209G3N30274,0
WT209G3N30275,0
WT209G3N30276,0
WT209G3N30277,1
WT209G3N30278,1
WT209G3N30279,1
WT209G3N30280,1
WT209G3N30281,1
WT209G3N30282,0
WT209G3N30283,0
WT209G3N30284,1
WT209G3N30285,1
WT209G3N30286,1
WT209G3N30287,1
WT209G3N30288,1
WT209G3N30289,1
WT209G3N30290,1
WT209G3N30301,0
WT209G3N30302,0
WT209G3N30303,0
WT209G3N30304,0
WT209G3N30305,0
WT209G3N30306,0
WT209G3N30307,0
WT209G3N30308,0
WT209G3N30309,0
WT209G3N30310,1
WT209G3N30311,1
WT209G3N30312,1
WT209G3N30313,1
WT209G3N30314,1
WT209G3N30315,1
WT209G3N30316,0
WT209G3N30317,1
WT209G3N30318,0
WT209G3N30319,0
WT209G3N30320,0
WT209G3N30321,0
WT209G3N30322,0
WT209G3N30323,1
WT209G3N30324,1
WT209G3N30325,1
WT209G3N30326,1
WT209G3N30327,0
WT209G3N30328,0
WT209G3N30329,0
WT209G3N30330,0
WT209G3N30331,0
WT209G3N30332,0
WT209G3N30333,1
WT209G3N30334,1
WT209G3N30335,1
WT209G3N30336,1
WT209G3N30337,1
WT209G3N30338,0
WT209G3N30339,0
WT209G3N30340,0
WT209G3N30341,0
WT209G3N30342,0
WT209G3N30343,1
WT209G3N30344,1
WT209G3N30345,1
WT209G3N30346,1
WT209G3N30347,1
WT209G3N30348,0
WT209G3N30349,0
WT209G3N30350,1
WT209G3N30351,1
WT209G3N30352,1
WT209G3N30353,0
WT209G3N30354,0
WT209G3N30355,0
WT209G3N30356,0
WT209G3N30357,0
WT209G3N30358,0
WT209G3N30359,0
WT209G3N30360,1
WT209G3N30361,1
WT209G3N30362,1
WT209G3N30363,1
WT209G3N30364,1
WT209G3N30365,0
WT209G3N30366,1
WT209G3N30367,1
WT209G3N30368,1
WT209G3N30369,0
WT209G3N30370,0
WT209G3N30371,0
WT209G3N30372,0
WT209G3N30373,1
WT209G3N30374,1
WT209G3N30375,1
WT209G3N30376,1
WT209G3N30377,1
WT209G3N30378,1
WT209G3N30379,1
WT209G3N30380,1
WT209G3N30381,1
WT209G3N30382,1
WT209G3N30383,0
WT209G3N30384,0
WT209G3N30385,0
WT209G3N30386,0
WT209G3N30387,0
WT209G3N30388,1
WT209G3N30389,1
WT209G3N30390,1
